,License Number,License Type,Name of Program,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,County,Phone,License Status,License Holder,Capacity,Type Of License,Restrictions,Services,Licensing Authority,Initial Effective Date,Current Effective Date,Expiration Date,License Holder Lives Onsite,Unnamed: 22,full_address,location,latitude,longitude,weight
148,1055759,Child Care Center,Bright Child Child Development Center Inc,110 6th Ave N,,,Princeton,MN,55371,Mille Lacs,(763) 389-4576,Active,Bright Child Child Development Center Inc,103,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/11/2010,01/01/2023,12/31/2023,   ,,110 6th Ave N Princeton MN 55371,"110 6th Ave N, Princeton, MN 55371, USA",45.5704967,-93.5810118,
149,1098104,Child Care Center,Bright Future Academy Corp,1541 5TH AVE S,,,SOUTH SAINT PAUL,MN,55075,Dakota,(651) 457-4116,Active,Bright Future Academy Corp,113,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/13/2020,01/01/2023,12/31/2023,   ,,1541 5TH AVE S SOUTH SAINT PAUL MN 55075,"1541 5th Ave S, South St Paul, MN 55075, USA",44.86411,-93.0396167,
150,1058249,Child Care Center,Bright Horizons Children's Centers LLC dba: Mayo Employees Back-Up CCC,3535 40th Ave Suite 100,,,Rochester,MN,55901,Olmsted,(507) 282-2707,Active,Bright Horizons Children's Centers LLC,181,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/20/2010,01/01/2023,12/31/2023,   ,,3535 40th Ave Suite 100 Rochester MN 55901,"3535 40th Ave NW #100, Rochester, MN 55901, USA",44.0594853,-92.52243349999999,
151,1059651,Child Care Center,Bright Horizons Childrens Centers LLC dba Allianz Bright Beginnings,5901 Golden Hills Dr,,,Golden Valley,MN,55416,Hennepin,(763) 765-6600,Active,Bright Horizons Children's Centers LLC,100,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,05/16/2011,01/01/2023,12/31/2023,   ,,5901 Golden Hills Dr Golden Valley MN 55416,"5901 Golden Hills Dr, Golden Valley, MN 55416, USA",44.972317,-93.3538303,
152,1037617,Child Care Center,Bright Horizons Minneapolis at Tenth Street,34 10th St S,,,Minneapolis,MN,55403,Hennepin,(612) 332-7800,Active,Bright Horizons Children's Centers LLC,51 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2005,01/01/2023,12/31/2023,   ,,34 10th St S Minneapolis MN 55403,"34 S 10th St, Minneapolis, MN 55403, USA",44.9745285,-93.2756713,
153,1037618,Child Care Center,Bright Horizons Minneapolis Gaviidae,651 Nicollet Mall Suite 135,,,Minneapolis,MN,55402,Hennepin,(612) 339-1014,Active,Bright Horizons Children's Centers LLC,53 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2005,01/09/2023,12/31/2023,   ,,651 Nicollet Mall Suite 135 Minneapolis MN 55402,"651 Nicollet Mall #135, Minneapolis, MN 55402, USA",44.9773375,-93.2710893,
154,1037620,Child Care Center,Bright Horizons Minnetonka,"111 Cheshire Lane, Suite 900",,,Minnetonka,MN,55305,Hennepin,(952) 473-1467,Active,Bright Horizons Children's Centers LLC,48 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2005,01/01/2023,12/31/2023,   ,,"111 Cheshire Lane, Suite 900 Minnetonka MN 55305","111 Cheshire Ln # 900, Minnetonka, MN 55305, USA",44.9767185,-93.4569812,
155,1037619,Child Care Center,Bright Horizons Woodbury,8147 Globe Dr,,,Woodbury,MN,55125,Washington,(651) 501-7722,Active,Bright Horizons Children's Centers LLC,75 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2005,01/01/2023,12/31/2023,   ,,8147 Globe Dr Woodbury MN 55125,"8147 Globe Dr, Woodbury, MN 55125, USA",44.9461568,-92.9403246,
156,1080450,Child Care Center,Bright Minds Child Care Inc,950 E Hennepin Ave,,,Minneapolis,MN,55414,Hennepin,(612) 800-1961,Active,Bright Minds Child Care Center Inc,96 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/22/2016,01/01/2023,12/31/2023,   ,,950 E Hennepin Ave Minneapolis MN 55414,"950 E Hennepin Ave, Minneapolis, MN 55414, USA",44.9909151,-93.2386868,
157,801996,Child Care Center,Bright Prospects Cooperative Preschool,2730 E 31ST ST,,,Minneapolis,MN,55406,Hennepin,(612) 470-4183,Active,Bright Prospects Cooperative Preschool,15 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1999,01/01/2023,12/31/2023,   ,,2730 E 31ST ST Minneapolis MN 55406,"2730 E 31st St, Minneapolis, MN 55406, USA",44.94718779999999,-93.23190199999999,
158,1111869,Child Care Center,Bright Side Daycare LLC,3424 E LAKE ST,,,Minneapolis,MN,55406,Hennepin,(612) 306-7304,Active,Bright Side Daycare LLC,91 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/30/2022,03/15/2023,12/31/2023,   ,,3424 E LAKE ST Minneapolis MN 55406,"3424 E Lake St, Minneapolis, MN 55406, USA",44.9487067,-93.2218606,
159,1075984,Child Care Center,Bright Star Daycare,4923 W Frontage Rd,,,Rochester,MN,55901,Olmsted,(507) 258-5845,Active,Bright Star Daycare,102,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/26/2015,01/01/2023,12/31/2023,   ,,4923 W Frontage Rd Rochester MN 55901,"4923 W Frontage Rd, Rochester, MN 55901, USA",44.0739802,-92.5061209,
160,1065075,Child Care Center,Bright Stars Learning Center Inc,7836 2nd Ave S,,,Bloomington,MN,55420,Hennepin,(952) 888-4341,Active,Nur Haadi Ahmed,114,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/10/2013,01/01/2023,12/31/2023,   ,,7836 2nd Ave S Bloomington MN 55420,"7836 2nd Ave S, Minneapolis, MN 55420, USA",44.8603008,-93.2749845,
161,1064579,Child Care Center,Bright Start Child Care Center Inc,1197 UNIVERSITY AVE W STE 106,,,Saint Paul,MN,55104,Ramsey,(651) 354-8097,Active,Bright Start Child Care Center Inc,153,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/03/2013,01/01/2023,12/31/2023,   ,,1197 UNIVERSITY AVE W STE 106 Saint Paul MN 55104,"1197 University Ave W #106, St Paul, MN 55104, USA",44.9561319,-93.15072959999999,
162,1113280,Child Care Center,Broadmain Academy Inc,119 BROADWAY ST NE,,,Minneapolis,MN,55413,Hennepin,(612) 584-4131,Active,Broadmain Academy Inc,73 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/11/2022,01/01/2023,12/31/2023,   ,,119 BROADWAY ST NE Minneapolis MN 55413,"119 Broadway St NE, Minneapolis, MN 55413, USA",44.9988328,-93.266509,
163,800252,Child Care Center,Brookdale Christian Center Daycare,6030 Xerxes Ave N,,,Brooklyn Center,MN,55430,Hennepin,(763) 561-0148,Active,Brookdale Christian Center,59 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/01/1964,01/01/2023,12/31/2023,   ,,6030 Xerxes Ave N Brooklyn Center MN 55430,"6030 N Xerxes Ave, Minneapolis, MN 55430, USA",45.0649239,-93.31817090000001,
164,1097461,Child Care Center,Brookdale Learning Center Ltd. ,7808 Yates Ave N,,,Brooklyn Park,MN,55443,Hennepin,(763) 205-4693,Active,Brookdale Learning Center Ltd.,101,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/30/2019,01/01/2023,12/31/2023,   ,,7808 Yates Ave N Brooklyn Park MN 55443,"7808 Yates Ave N, Minneapolis, MN 55443, USA",45.09612990000001,-93.354203,
165,1053996,Child Care Center,Bubbling Brook Child Care,6221 Rice Lake Road,,,Duluth,MN,55803,St. Louis,(218) 721-4699,Active,Waters of Life Lutheran Church dba: Bubbling Brook Child Care,118,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/15/2009,01/01/2023,12/31/2023,   ,,6221 Rice Lake Road Duluth MN 55803,"6221 Rice Lake Rd, Duluth, MN 55803, USA",46.96048140000001,-92.156939,
166,1099182,Child Care Center,Building Blocks Childcare & Learning Center,469 12TH ST,,,Red Wing,MN,55066,Goodhue,(651) 388-8905,Active,"Building Blocks Childcare & Learning Center, LLC",192,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/07/2019,01/01/2023,12/31/2023,   ,,469 12TH ST Red Wing MN 55066,"469 12th St, Red Wing, MN 55066, USA",44.5575426,-92.5256347,
167,802059,Child Care Center,Building Blocks Christian Preschool,61 Mississippi Way NW,,,Fridley,MN,55432,Anoka,(763) 574-7445,Active,Building Blocks Christian Preschool,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1962,01/01/2023,12/31/2023,   ,,61 Mississippi Way NW Fridley MN 55432,"61 Mississippi Way NE, Fridley, MN 55432, USA",45.0866713,-93.27262089999999,
168,1101716,Child Care Center,Building Blocks for Life Preschool,32962 VICKERS ST NE,,,Cambridge,MN,55008,Isanti,(763) 689-2230,Active,Christ Evangelical Lutheran Church ,15 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,12/31/2019,01/01/2023,12/31/2023,   ,,32962 VICKERS ST NE Cambridge MN 55008,"32962 Vickers St NE, Cambridge, MN 55008, USA",45.5670548,-93.17335109999999,
169,1074961,Child Care Center,Building Blocks Learning Center,4402 Haines Rd Ste 1,,,Duluth,MN,55811,St. Louis,(218) 722-2252,Active,Building Blocks Learning Center LLC,117,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/25/2014,01/01/2023,12/31/2023,   ,,4402 Haines Rd Ste 1 Duluth MN 55811,"4402 Haines Rd #1, Duluth, MN 55811, USA",46.8296424,-92.17393510000001,
170,1081275,Child Care Center,Building Blocks Learning Center & Child Care Inc,610 Summit Dr Ste 1,,,Fairmont,MN,56031,Martin,(507) 235-5021,Active,Building Blocks Learning Center & Childcare Inc,75 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/27/2016,01/01/2023,12/31/2023,   ,,610 Summit Dr Ste 1 Fairmont MN 56031,"610 Summit Dr #1, Fairmont, MN 56031, USA",43.6439977,-94.47538929999999,
171,1080554,Child Care Center,Burnsville Learning Center Inc,12190 County Rd 11,,,Burnsville,MN,55337,Dakota,(952) 882-2908,Active,Burnsville Learning Center Inc,126,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/07/2016,01/01/2023,12/31/2023,   ,,12190 County Rd 11 Burnsville MN 55337,"12190 Co Rd 11, Burnsville, MN 55337, USA",44.7835999,-93.24880279999999,
172,1073055,Child Care Center,Butterfly Hill Nature Preschool Inc,2210 6TH AVE E,,,Alexandria,MN,56308,Douglas,(320) 763-0130,Active,Butterfly Hill Nature Preschool Inc,40 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/02/2014,01/01/2023,12/31/2023,   ,,2210 6TH AVE E Alexandria MN 56308,"2210 6th Ave E, Alexandria, MN 56308, USA",45.8851346,-95.344663,
173,800289,Child Care Center,Calvary Child Care Center,7520 Golden Valley Rd.,,,Golden Valley,MN,55427,Hennepin,(763) 541-9774,Active,Calvary Lutheran Church of Golden Valley,76 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/18/1982,01/01/2023,12/31/2023,   ,,7520 Golden Valley Rd. Golden Valley MN 55427,"7520 Golden Valley Rd, Golden Valley, MN 55427, USA",44.9874071,-93.3761696,
174,800387,Child Care Center,Calvary Lutheran Pre-kindergarten,7520 Golden Valley Rd,,,Golden Valley,MN,55427,Hennepin,(763) 545-5933,Active,Calvary Lutheran Church of Golden Valley,74 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1961,01/01/2023,12/31/2023,   ,,7520 Golden Valley Rd Golden Valley MN 55427,"7520 Golden Valley Rd, Golden Valley, MN 55427, USA",44.9874071,-93.3761696,
175,800290,Child Care Center,Calvary Lutheran Preschool,605 DOUGLAS ST,,,Alexandria,MN,56308,Douglas,(320) 763-5178,Active,Calvary Lutheran Preschool,50 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,05/10/1990,01/01/2023,12/31/2023,   ,,605 DOUGLAS ST Alexandria MN 56308,"605 Douglas St, Alexandria, MN 56308, USA",45.8856186,-95.3819499,
176,800291,Child Care Center,Calvary Lutheran Preschool,2508 Washington Ave SE, ,,Bemidji,MN,56601,Beltrami,(218) 751-1893,Active,Calvary Lutheran Church,65 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/15/1986,01/01/2023,12/31/2023,   ,,2508 Washington Ave SE Bemidji MN 56601,"2508 Washington Ave SE, Bemidji, MN 56601, USA",47.4371584,-94.86226549999999,
177,1110823,Child Care Center,Calvary Preschool and Early Learning Center,18360 MINNETONKA BLVD,,,Wayzata,MN,55391,Hennepin,(952) 473-6117,Active,Calvary Lutheran Church of Golden Valley,51 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/2022,01/01/2023,12/31/2023,   ,,18360 MINNETONKA BLVD Wayzata MN 55391,"18360 Minnetonka Blvd, Wayzata, MN 55391, USA",44.9390426,-93.5133836,
179,800303,Child Care Center,Canby Head Start,Canby Elementary School,601 4th St W,,Canby,MN,56220,Yellow Medicine,(507) 223-5409,Active,"Prairie Five Community Action Council, Incorporated",20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/02/1987,02/01/2023,12/31/2023,   ,,Canby Elementary School Canby MN 56220,"307 1st St W, Canby, MN 56220, USA",44.7157282,-96.27847659999999,
180,1078627,Child Care Center,Canoga Park Childcare,1301 Canoga Park Dr,,,Marshall,MN,56258,Lyon,(507) 929-9872,Active,Canoga Park Childcare LLC,38 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/09/2015,01/01/2023,12/31/2023,   ,,1301 Canoga Park Dr Marshall MN 56258,"1301 Canoga Park Dr, Marshall, MN 56258, USA",44.4318931,-95.7725732,
181,1110117,Child Care Center,Canoga Park Childcare South,305 S 2ND ST,,,Marshall,MN,56258,Lyon,(507) 929-2653,Active,Canoga Park Childcare LLC,8  ,Service: Day time child care Ages Served: Infants     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/03/2022,01/01/2023,12/31/2023,   ,,305 S 2ND ST Marshall MN 56258,"305 S 2nd St, Marshall, MN 56258, USA",44.4430584,-95.7937256,
182,1083723,Child Care Center,Canoga Park Childcare West,702 E Southview Dr,,,Marshall,MN,56258,Lyon,(507) 532-9503,Active,Canoga Park Childcare LLC,74 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per state fire marshal, doors between two buildings must be self-closing and remain closed at all times.",Child Care Center,Minnesota Department of Human Services,03/13/2017,01/01/2023,12/31/2023,   ,,702 E Southview Dr Marshall MN 56258,"702 E Southview Dr, Marshall, MN 56258, USA",44.435572,-95.7808687,
183,800278,Child Care Center,CAPE Child Care Center,2727 N Ferry St,,,Anoka,MN,55303,Anoka,(763) 506-1561,Active,Anoka Hennepin District #11,49 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/05/1989,01/01/2023,12/31/2023,   ,,2727 N Ferry St Anoka MN 55303,"2727 N Ferry St, Anoka, MN 55303, USA",45.2088087,-93.39145119999999,
184,1113937,Child Care Center,CAPS Care,511 W MAIN ST,,,Caledonia,MN,55921,Houston,(507) 408-0060,Active,Caledonia Public School District 0299-01,93 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/15/2022,01/01/2023,12/31/2023,   ,,511 W MAIN ST Caledonia MN 55921,"511 W Main St, Caledonia, MN 55921, USA",43.6338342,-91.502862,
185,809413,Child Care Center,Care Corner,265 St Andrews Dr,,,Mankato,MN,56001,Blue Earth,(507) 386-7444,Active,"Care Corner, Inc.",140,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/01/1995,01/01/2023,12/31/2023,   ,,265 St Andrews Dr Mankato MN 56001,"265 St Andrews Dr, Mankato, MN 56001, USA",44.1795876,-93.9570607,
186,1106439,Child Care Center,CareOne Childcare Center,116 E 32ND ST,,,Minneapolis,MN,55408,Hennepin,(612) 432-1015,Active,"CareOne Childcare Center,Inc",76 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/28/2021,01/01/2023,12/31/2023,   ,,116 E 32ND ST Minneapolis MN 55408,"116 E 32nd St, Minneapolis, MN 55408, USA",44.94526,-93.27569249999999,
187,800314,Child Care Center,Caring for Children,5835 Lyndale Ave S,,,Minneapolis,MN,55419,Hennepin,(612) 866-1632,Active,Richfield United Methodist Church,80 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1984,01/01/2023,12/31/2023,   ,,5835 Lyndale Ave S Minneapolis MN 55419,"5835 Lyndale Ave S, Minneapolis, MN 55419, USA",44.8966059,-93.2876806,
188,800319,Child Care Center,Carol Matheys Center for Children & Families,6060 43rd St N,,,Oakdale,MN,55128,Washington,(651) 777-6668,Active,Carol Matheys Center for Children & Families,62 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/19/1970,01/01/2023,12/31/2023,   ,,6060 43rd St N Oakdale MN 55128,"6060 43rd St N, St Paul, MN 55128, USA",45.0107556,-92.9832154,
189,800320,Child Care Center,Carol's Corner Child Care Center,3120 Labore Rd, ,,Saint Paul,MN,55109,Ramsey,(651) 484-9774,Active,Carol's Corner Child Care Center,21 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/24/1973,01/01/2023,12/31/2023,   ,,3120 Labore Rd Saint Paul MN 55109,"3120 Labore Rd, Little Canada, MN 55109, USA",45.0356462,-93.0585201,
190,1105682,Child Care Center,Carondelet Catholic School,2900 W 44TH ST,,,Minneapolis,MN,55410,Hennepin,(612) 920-9075,Active,Carondelet Catholic School,30 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/15/2021,01/01/2023,12/31/2023,   ,,2900 W 44TH ST Minneapolis MN 55410,"2900 W 44th St, Minneapolis, MN 55410, USA",44.92367840000001,-93.31639779999999,
191,1065654,Child Care Center,Casa de Corazon Inc,8351 Elm Creek Blvd,,,Maple Grove,MN,55369,Hennepin,(763) 416-3992,Active,"Casa de Corazon, Inc",162,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/10/2014,02/13/2023,12/31/2023,   ,,8351 Elm Creek Blvd Maple Grove MN 55369,"8351 Elm Creek Blvd N, Maple Grove, MN 55369, USA",45.1065466,-93.45252239999999,
192,1061327,Child Care Center,Casa de Corazon Inc,5101 France Ave S,,,Minneapolis,MN,55410,Hennepin,(612) 886-2453,Active,"Casa de Corazon, Inc",110,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/27/2011,01/01/2023,12/31/2023,   ,,5101 France Ave S Minneapolis MN 55410,"5101 France Ave S, Minneapolis, MN 55410, USA",44.9104809,-93.32870030000001,
193,1056212,Child Care Center,Casa de Corazon Inc,3928 Nicollet Ave,,,Minneapolis,MN,55409,Hennepin,(612) 824-7831,Active,"Casa de Corazon, Inc",118,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/22/2010,01/01/2023,12/31/2023,   ,,3928 Nicollet Ave Minneapolis MN 55409,"3928 Nicollet Ave, Minneapolis, MN 55409, USA",44.9312933,-93.2782467,
194,1115271,Child Care Center,Casa de Corazon Rochester,970 34TH AVE NW,,,Rochester,MN,55901,Olmsted,(507) 735-6532,Active,"Casa de Corazon, Inc",53 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/27/2023,02/27/2023,12/31/2023,   ,,970 34TH AVE NW Rochester MN 55901,"970 34th Ave NW, Rochester, MN 55901, USA",44.0349461,-92.515093,
195,1060544,Child Care Center,Cathedral Hill Montessori,329 Dayton Avenue,,,Saint Paul,MN,55102,Ramsey,(651) 222-1555,Active,Cathedral Hill Montessori,57 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/18/2011,01/01/2023,12/31/2023,   ,,329 Dayton Avenue Saint Paul MN 55102,"329 Dayton Ave, St Paul, MN 55102, USA",44.9476531,-93.1137639,
196,1101525,Child Care Center,CCM Health Child Care Center,1020 N 13th St,,,Montevideo,MN,56265,Chippewa,(320) 321-8510,Active,CCM Health,31 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/13/2020,01/01/2023,12/31/2023,   ,,1020 N 13th St Montevideo MN 56265,"1020 N 13th St, Montevideo, MN 56265, USA",44.9551283,-95.7109528,
197,1088659,Child Care Center,CCRR Head Start Empowerment Center,930 40TH ST NW,,,Rochester,MN,55901,Olmsted,(507) 251-6814,Active,"Child Care Resource and Referral, Inc.",81 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/09/2017,01/01/2023,12/31/2023,   ,,930 40TH ST NW Rochester MN 55901,"930 40th St NW, Rochester, MN 55901, USA",44.0623963,-92.478073,
198,1081002,Child Care Center,Cedar Child Care Center Inc,3011 Cedar Ave S,,,Minneapolis,MN,55407,Hennepin,(651) 497-5257,Active,Cedar Child Care Center Inc,69 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per building inspector, max capacity of 100 children. ",Child Care Center,Minnesota Department of Human Services,07/26/2017,01/01/2023,12/31/2023,   ,,3011 Cedar Ave S Minneapolis MN 55407,"3011 Cedar Ave S, Minneapolis, MN 55407, USA",44.9478669,-93.2470443,
199,1103854,Child Care Center,Cedar Gland Child Care Center Inc,1525 GLENWOOD AVE,,,Minneapolis,MN,55405,Hennepin,(612) 377-3447,Active,Cedar Gland Child Care Center Inc.,76 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/02/2020,01/01/2023,12/31/2023,   ,,1525 GLENWOOD AVE Minneapolis MN 55405,"1525 Glenwood Ave, Minneapolis, MN 55405, USA",44.9806282,-93.3002393,
200,800192,Child Care Center,Cedar Head Start Center,ISD 15 Lifelong Learning Center,18900 Cedar Dr Room 103,,Oak Grove,MN,55011,Anoka,(763) 434-7253,Active,"Anoka County Community Action Program,  Inc.",20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/26/1984,01/01/2023,12/31/2023,   ,,ISD 15 Lifelong Learning Center Oak Grove MN 55011,"18900 Cedar Dr NW, Oak Grove, MN 55011, USA",45.3146356,-93.2871432,
201,1094333,Child Care Center,"Cedar Kids, Inc",2429 N CEDAR AVE,,,Owatonna,MN,55060,Steele,(507) 444-0601,Active,"Cedar Kids, Inc",154,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/15/2018,01/01/2023,12/31/2023,   ,,2429 N CEDAR AVE Owatonna MN 55060,"2429 N Cedar Ave, Owatonna, MN 55060, USA",44.1084065,-93.2259603,
202,1100086,Child Care Center,Cedar Mountain Cougar Cub Child Care Center,215 2ND AVE E,,,Franklin,MN,55333,Renville,(507) 557-2254,Active,Cedar Mountain Public School ISD #2754,48 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/16/2019,01/01/2023,12/31/2023,   ,,215 2ND AVE E Franklin MN 55333,"215 E 2nd Ave, Franklin, MN 55333, USA",44.5300312,-94.88335219999999,
203,1065928,Child Care Center,Cedar Riverside Child Care Center LLC,404 Cedar Ave S,,,Minneapolis,MN,55454,Hennepin,(612) 338-5399,Active,Cedar Riverside Child Care Center LLC,56 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/19/2013,02/22/2023,12/31/2023,   ,,404 Cedar Ave S Minneapolis MN 55454,"Cedar Ave S, Minneapolis, MN 55404, USA",44.963533,-93.2472859,
204,1060410,Child Care Center,Celebrate Preschool Celebration Lutheran Church,1500 PINE CONE RD,,,Sartell,MN,56377,Stearns,(320) 255-0488,Active,Celebrate Preschool,18 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/11/2011,01/01/2023,12/31/2023,   ,,1500 PINE CONE RD Sartell MN 56377,"1500 Pine Cone Rd N, Sartell, MN 56377, USA",45.6420019,-94.2201312,
205,1108080,Child Care Center,Celebration Academy,16655 KENYON AVE,,,Lakeville,MN,55044,Dakota,(952) 232-1920,Active,Celebration Academy,101,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/18/2021,01/01/2023,12/31/2023,   ,,16655 KENYON AVE Lakeville MN 55044,"16655 Kenyon Ave, Lakeville, MN 55044, USA",44.7081203,-93.286799,
206,1060749,Child Care Center,Centaur Beginnings,5910 SHINGLE CREEK PKWY STE 1A,,,Brooklyn Center,MN,55430,Hennepin,(763) 503-8982,Active,Brooklyn Center School District 0286-01,46 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,11/15/2012,01/01/2023,12/31/2023,   ,,5910 SHINGLE CREEK PKWY STE 1A Brooklyn Center MN 55430,"5910 Shingle Creek Pkwy #1a, Minneapolis, MN 55430, USA",45.0627684,-93.3119007,
207,1084787,Child Care Center,Center of Excellence,810 S 7TH ST,,,Minneapolis,MN,55415,Hennepin,(612) 249-5337,Active,"People Serving People, Inc.",56 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/25/2017,01/01/2023,12/31/2023,   ,,810 S 7TH ST Minneapolis MN 55415,"810 S 7th St, Minneapolis, MN 55415, USA",44.9723148,-93.26056740000001,
