,License Number,License Type,Name of Program,AddressLine1,AddressLine2,AddressLine3,City,State,Zip,County,Phone,License Status,License Holder,Capacity,Type Of License,Restrictions,Services,Licensing Authority,Initial Effective Date,Current Effective Date,Expiration Date,License Holder Lives Onsite,Unnamed: 22
139,800229,Child Care Center,Breck School Preschool and Extended Care,123 OTTAWA AVE N,,,Minneapolis,MN,55422-5124,Hennepin,(763) 381-8221,Active,Breck School Preschool and Extended Day,60 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/08/1975,01/01/2023,12/31/2023,   ,
140,1116546,Child Care Center,Bridge Academy of Early Learning,19805 HEADWATERS BLVD N,,,Forest Lake,MN,55025-0000,Washington,(651) 758-0596,Active,Growing Generations Child Development Center Forest Lake LLC,140,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,03/06/2023,03/06/2023,12/31/2023,   ,
141,1055403,Child Care Center,Bridge to Knowledge Montessori,11337 Flintwood St,,,Coon Rapids,MN,55448     ,Anoka,(763) 780-5111,Active,Haena Corp Inc,42 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/13/2009,01/01/2023,12/31/2023,   ,
142,800233,Child Care Center,"Bridges, Inc. (The)",14950 Dodd Blvd,,,Rosemount,MN,55068     ,Dakota,(651) 423-2527,Active,"Bridges, Inc. (The)",50 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/30/1973,01/01/2023,12/31/2023,   ,
144,1115165,Child Care Center,Bright Beginnings Childcare & Learning Center,4817 VIKING BLVD NE,,,East Bethel,MN,55092-9558,Anoka,(612) 309-4134,Active,Bright Beginnings Childcare and Learning Center LLC,66 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,03/06/2023,03/06/2023,12/31/2023,   ,
145,1085255,Child Care Center,Bright Beginnings Childcare & Learning Center,11318 North Ave,,,Chisago City,MN,55013     ,Chisago,(651) 257-0577,Active,Bright Beginnings Childcare and Learning Center LLC,53 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,12/05/2017,01/01/2023,12/31/2023,   ,
146,1018118,Child Care Center,Bright Beginnings Christian Preschool,9350 Upland Ln N,,,Maple Grove,MN,55369     ,Hennepin,(763) 639-9876,Active,"JJC Preschool, Incorporated",40 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/03/2002,01/01/2023,12/31/2023,   ,
147,1102022,Child Care Center,Bright Beginnings Early Childcare Center LLC,9675 63RD AVE N,,,Maple Grove,MN,55369-6253,Hennepin,(763) 531-1889,Active,Bright Beginnings Early Childcare Center LLC,37 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/2021,01/01/2023,12/31/2023,   ,
148,1055759,Child Care Center,Bright Child Child Development Center Inc,110 6th Ave N,,,Princeton,MN,55371     ,Mille Lacs,(763) 389-4576,Active,Bright Child Child Development Center Inc,103,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/11/2010,01/01/2023,12/31/2023,   ,
149,1098104,Child Care Center,Bright Future Academy Corp,1541 5TH AVE S,,,SOUTH SAINT PAUL,MN,55075-3453,Dakota,(651) 457-4116,Active,Bright Future Academy Corp,113,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/13/2020,01/01/2023,12/31/2023,   ,
150,1058249,Child Care Center,Bright Horizons Children's Centers LLC dba: Mayo Employees Back-Up CCC,3535 40th Ave Suite 100,,,Rochester,MN,55901     ,Olmsted,(507) 282-2707,Active,Bright Horizons Children's Centers LLC,181,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/20/2010,01/01/2023,12/31/2023,   ,
151,1059651,Child Care Center,Bright Horizons Childrens Centers LLC dba Allianz Bright Beginnings,5901 Golden Hills Dr,,,Golden Valley,MN,55416     ,Hennepin,(763) 765-6600,Active,Bright Horizons Children's Centers LLC,100,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,05/16/2011,01/01/2023,12/31/2023,   ,
152,1037617,Child Care Center,Bright Horizons Minneapolis at Tenth Street,34 10th St S,,,Minneapolis,MN,55403     ,Hennepin,(612) 332-7800,Active,Bright Horizons Children's Centers LLC,51 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2005,01/01/2023,12/31/2023,   ,
153,1037618,Child Care Center,Bright Horizons Minneapolis Gaviidae,651 Nicollet Mall Suite 135,,,Minneapolis,MN,55402     ,Hennepin,(612) 339-1014,Active,Bright Horizons Children's Centers LLC,53 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2005,01/09/2023,12/31/2023,   ,
154,1037620,Child Care Center,Bright Horizons Minnetonka,"111 Cheshire Lane, Suite 900",,,Minnetonka,MN,55305     ,Hennepin,(952) 473-1467,Active,Bright Horizons Children's Centers LLC,48 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2005,01/01/2023,12/31/2023,   ,
155,1037619,Child Care Center,Bright Horizons Woodbury,8147 Globe Dr,,,Woodbury,MN,55125     ,Washington,(651) 501-7722,Active,Bright Horizons Children's Centers LLC,75 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/12/2005,01/01/2023,12/31/2023,   ,
156,1080450,Child Care Center,Bright Minds Child Care Inc,950 E Hennepin Ave,,,Minneapolis,MN,55414     ,Hennepin,(612) 800-1961,Active,Bright Minds Child Care Center Inc,96 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/22/2016,01/01/2023,12/31/2023,   ,
157,801996,Child Care Center,Bright Prospects Cooperative Preschool,2730 E 31ST ST,,,Minneapolis,MN,55406-1923,Hennepin,(612) 470-4183,Active,Bright Prospects Cooperative Preschool,15 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/1999,01/01/2023,12/31/2023,   ,
158,1111869,Child Care Center,Bright Side Daycare LLC,3424 E LAKE ST,,,Minneapolis,MN,55406-2150,Hennepin,(612) 306-7304,Active,Bright Side Daycare LLC,91 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/30/2022,03/15/2023,12/31/2023,   ,
159,1075984,Child Care Center,Bright Star Daycare,4923 W Frontage Rd,,,Rochester,MN,55901     ,Olmsted,(507) 258-5845,Active,Bright Star Daycare,102,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/26/2015,01/01/2023,12/31/2023,   ,
160,1065075,Child Care Center,Bright Stars Learning Center Inc,7836 2nd Ave S,,,Bloomington,MN,55420     ,Hennepin,(952) 888-4341,Active,Nur Haadi Ahmed,114,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/10/2013,01/01/2023,12/31/2023,   ,
161,1064579,Child Care Center,Bright Start Child Care Center Inc,1197 UNIVERSITY AVE W STE 106,,,Saint Paul,MN,55104-4124,Ramsey,(651) 354-8097,Active,Bright Start Child Care Center Inc,153,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/03/2013,01/01/2023,12/31/2023,   ,
162,1113280,Child Care Center,Broadmain Academy Inc,119 BROADWAY ST NE,,,Minneapolis,MN,55413-1805,Hennepin,(612) 584-4131,Active,Broadmain Academy Inc,73 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/11/2022,01/01/2023,12/31/2023,   ,
163,800252,Child Care Center,Brookdale Christian Center Daycare,6030 Xerxes Ave N,,,Brooklyn Center,MN,55430     ,Hennepin,(763) 561-0148,Active,Brookdale Christian Center,59 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/01/1964,01/01/2023,12/31/2023,   ,
164,1097461,Child Care Center,Brookdale Learning Center Ltd. ,7808 Yates Ave N,,,Brooklyn Park,MN,55443-0000,Hennepin,(763) 205-4693,Active,Brookdale Learning Center Ltd.,101,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/30/2019,01/01/2023,12/31/2023,   ,
165,1053996,Child Care Center,Bubbling Brook Child Care,6221 Rice Lake Road,,,Duluth,MN,55803     ,St. Louis,(218) 721-4699,Active,Waters of Life Lutheran Church dba: Bubbling Brook Child Care,118,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/15/2009,01/01/2023,12/31/2023,   ,
166,1099182,Child Care Center,Building Blocks Childcare & Learning Center,469 12TH ST,,,Red Wing,MN,55066-3433,Goodhue,(651) 388-8905,Active,"Building Blocks Childcare & Learning Center, LLC",192,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/07/2019,01/01/2023,12/31/2023,   ,
167,802059,Child Care Center,Building Blocks Christian Preschool,61 Mississippi Way NW,,,Fridley,MN,55432     ,Anoka,(763) 574-7445,Active,Building Blocks Christian Preschool,20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1962,01/01/2023,12/31/2023,   ,
168,1101716,Child Care Center,Building Blocks for Life Preschool,32962 VICKERS ST NE,,,Cambridge,MN,55008-7832,Isanti,(763) 689-2230,Active,Christ Evangelical Lutheran Church ,15 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,12/31/2019,01/01/2023,12/31/2023,   ,
169,1074961,Child Care Center,Building Blocks Learning Center,4402 Haines Rd Ste 1,,,Duluth,MN,55811     ,St. Louis,(218) 722-2252,Active,Building Blocks Learning Center LLC,117,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/25/2014,01/01/2023,12/31/2023,   ,
170,1081275,Child Care Center,Building Blocks Learning Center & Child Care Inc,610 Summit Dr Ste 1,,,Fairmont,MN,56031     ,Martin,(507) 235-5021,Active,Building Blocks Learning Center & Childcare Inc,75 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/27/2016,01/01/2023,12/31/2023,   ,
171,1080554,Child Care Center,Burnsville Learning Center Inc,12190 County Rd 11,,,Burnsville,MN,55337     ,Dakota,(952) 882-2908,Active,Burnsville Learning Center Inc,126,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/07/2016,01/01/2023,12/31/2023,   ,
172,1073055,Child Care Center,Butterfly Hill Nature Preschool Inc,2210 6TH AVE E,,,Alexandria,MN,56308-2183,Douglas,(320) 763-0130,Active,Butterfly Hill Nature Preschool Inc,40 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/02/2014,01/01/2023,12/31/2023,   ,
173,800289,Child Care Center,Calvary Child Care Center,7520 Golden Valley Rd.,,,Golden Valley,MN,55427     ,Hennepin,(763) 541-9774,Active,Calvary Lutheran Church of Golden Valley,76 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/18/1982,01/01/2023,12/31/2023,   ,
174,800387,Child Care Center,Calvary Lutheran Pre-kindergarten,7520 Golden Valley Rd,,,Golden Valley,MN,55427-4506,Hennepin,(763) 545-5933,Active,Calvary Lutheran Church of Golden Valley,74 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1961,01/01/2023,12/31/2023,   ,
175,800290,Child Care Center,Calvary Lutheran Preschool,605 DOUGLAS ST,,,Alexandria,MN,56308-1732,Douglas,(320) 763-5178,Active,Calvary Lutheran Preschool,50 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,05/10/1990,01/01/2023,12/31/2023,   ,
176,800291,Child Care Center,Calvary Lutheran Preschool,2508 Washington Ave SE, ,,Bemidji,MN,56601-1893,Beltrami,(218) 751-1893,Active,Calvary Lutheran Church,65 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/15/1986,01/01/2023,12/31/2023,   ,
177,1110823,Child Care Center,Calvary Preschool and Early Learning Center,18360 MINNETONKA BLVD,,,Wayzata,MN,55391-3232,Hennepin,(952) 473-6117,Active,Calvary Lutheran Church of Golden Valley,51 ,Service: Day time child care Ages Served: Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/01/2022,01/01/2023,12/31/2023,   ,
179,800303,Child Care Center,Canby Head Start,Canby Elementary School,601 4th St W,,Canby,MN,56220     ,Yellow Medicine,(507) 223-5409,Active,"Prairie Five Community Action Council, Incorporated",20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/02/1987,02/01/2023,12/31/2023,   ,
180,1078627,Child Care Center,Canoga Park Childcare,1301 Canoga Park Dr,,,Marshall,MN,56258     ,Lyon,(507) 929-9872,Active,Canoga Park Childcare LLC,38 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/09/2015,01/01/2023,12/31/2023,   ,
181,1110117,Child Care Center,Canoga Park Childcare South,305 S 2ND ST,,,Marshall,MN,56258-2365,Lyon,(507) 929-2653,Active,Canoga Park Childcare LLC,8  ,Service: Day time child care Ages Served: Infants     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,01/03/2022,01/01/2023,12/31/2023,   ,
182,1083723,Child Care Center,Canoga Park Childcare West,702 E Southview Dr,,,Marshall,MN,56258     ,Lyon,(507) 532-9503,Active,Canoga Park Childcare LLC,74 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per state fire marshal, doors between two buildings must be self-closing and remain closed at all times.",Child Care Center,Minnesota Department of Human Services,03/13/2017,01/01/2023,12/31/2023,   ,
183,800278,Child Care Center,CAPE Child Care Center,2727 N Ferry St,,,Anoka,MN,55303     ,Anoka,(763) 506-1561,Active,Anoka Hennepin District #11,49 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/05/1989,01/01/2023,12/31/2023,   ,
184,1113937,Child Care Center,CAPS Care,511 W MAIN ST,,,Caledonia,MN,55921-1869,Houston,(507) 408-0060,Active,Caledonia Public School District 0299-01,93 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/15/2022,01/01/2023,12/31/2023,   ,
185,809413,Child Care Center,Care Corner,265 St Andrews Dr,,,Mankato,MN,56001     ,Blue Earth,(507) 386-7444,Active,"Care Corner, Inc.",140,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/01/1995,01/01/2023,12/31/2023,   ,
186,1106439,Child Care Center,CareOne Childcare Center,116 E 32ND ST,,,Minneapolis,MN,55408-4403,Hennepin,(612) 432-1015,Active,"CareOne Childcare Center,Inc",76 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,06/28/2021,01/01/2023,12/31/2023,   ,
187,800314,Child Care Center,Caring for Children,5835 Lyndale Ave S,,,Minneapolis,MN,55419     ,Hennepin,(612) 866-1632,Active,Richfield United Methodist Church,80 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/01/1984,01/01/2023,12/31/2023,   ,
188,800319,Child Care Center,Carol Matheys Center for Children & Families,6060 43rd St N,,,Oakdale,MN,55128     ,Washington,(651) 777-6668,Active,Carol Matheys Center for Children & Families,62 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/19/1970,01/01/2023,12/31/2023,   ,
189,800320,Child Care Center,Carol's Corner Child Care Center,3120 Labore Rd, ,,Saint Paul,MN,55109     ,Ramsey,(651) 484-9774,Active,Carol's Corner Child Care Center,21 ,Service: Day time child care Ages Served: Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/24/1973,01/01/2023,12/31/2023,   ,
190,1105682,Child Care Center,Carondelet Catholic School,2900 W 44TH ST,,,Minneapolis,MN,55410-1551,Hennepin,(612) 920-9075,Active,Carondelet Catholic School,30 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/15/2021,01/01/2023,12/31/2023,   ,
191,1065654,Child Care Center,Casa de Corazon Inc,8351 Elm Creek Blvd,,,Maple Grove,MN,55369     ,Hennepin,(763) 416-3992,Active,"Casa de Corazon, Inc",162,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,03/10/2014,02/13/2023,12/31/2023,   ,
192,1061327,Child Care Center,Casa de Corazon Inc,5101 France Ave S,,,Minneapolis,MN,55410     ,Hennepin,(612) 886-2453,Active,"Casa de Corazon, Inc",110,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/27/2011,01/01/2023,12/31/2023,   ,
193,1056212,Child Care Center,Casa de Corazon Inc,3928 Nicollet Ave,,,Minneapolis,MN,55409     ,Hennepin,(612) 824-7831,Active,"Casa de Corazon, Inc",118,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/22/2010,01/01/2023,12/31/2023,   ,
194,1115271,Child Care Center,Casa de Corazon Rochester,970 34TH AVE NW,,,Rochester,MN,55901-0000,Olmsted,(507) 735-6532,Active,"Casa de Corazon, Inc",53 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,02/27/2023,02/27/2023,12/31/2023,   ,
195,1060544,Child Care Center,Cathedral Hill Montessori,329 Dayton Avenue,,,Saint Paul,MN,55102     ,Ramsey,(651) 222-1555,Active,Cathedral Hill Montessori,57 ,Service: Day time child care Ages Served: Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/18/2011,01/01/2023,12/31/2023,   ,
196,1101525,Child Care Center,CCM Health Child Care Center,1020 N 13th St,,,Montevideo,MN,56265-0000,Chippewa,(320) 321-8510,Active,CCM Health,31 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,01/13/2020,01/01/2023,12/31/2023,   ,
197,1088659,Child Care Center,CCRR Head Start Empowerment Center,930 40TH ST NW,,,Rochester,MN,55901-4273,Olmsted,(507) 251-6814,Active,"Child Care Resource and Referral, Inc.",81 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/09/2017,01/01/2023,12/31/2023,   ,
198,1081002,Child Care Center,Cedar Child Care Center Inc,3011 Cedar Ave S,,,Minneapolis,MN,55407     ,Hennepin,(651) 497-5257,Active,Cedar Child Care Center Inc,69 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,"Per building inspector, max capacity of 100 children. ",Child Care Center,Minnesota Department of Human Services,07/26/2017,01/01/2023,12/31/2023,   ,
199,1103854,Child Care Center,Cedar Gland Child Care Center Inc,1525 GLENWOOD AVE,,,Minneapolis,MN,55405-1227,Hennepin,(612) 377-3447,Active,Cedar Gland Child Care Center Inc.,76 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,11/02/2020,01/01/2023,12/31/2023,   ,
200,800192,Child Care Center,Cedar Head Start Center,ISD 15 Lifelong Learning Center,18900 Cedar Dr Room 103,,Oak Grove,MN,55011     ,Anoka,(763) 434-7253,Active,"Anoka County Community Action Program,  Inc.",20 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/26/1984,01/01/2023,12/31/2023,   ,
201,1094333,Child Care Center,"Cedar Kids, Inc",2429 N CEDAR AVE,,,Owatonna,MN,55060-1244,Steele,(507) 444-0601,Active,"Cedar Kids, Inc",154,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/15/2018,01/01/2023,12/31/2023,   ,
202,1100086,Child Care Center,Cedar Mountain Cougar Cub Child Care Center,215 2ND AVE E,,,Franklin,MN,55333-0000,Renville,(507) 557-2254,Active,Cedar Mountain Public School ISD #2754,48 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/16/2019,01/01/2023,12/31/2023,   ,
203,1065928,Child Care Center,Cedar Riverside Child Care Center LLC,404 Cedar Ave S,,,Minneapolis,MN,55454     ,Hennepin,(612) 338-5399,Active,Cedar Riverside Child Care Center LLC,56 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/19/2013,02/22/2023,12/31/2023,   ,
204,1060410,Child Care Center,Celebrate Preschool Celebration Lutheran Church,1500 PINE CONE RD,,,Sartell,MN,56377-2187,Stearns,(320) 255-0488,Active,Celebrate Preschool,18 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/11/2011,01/01/2023,12/31/2023,   ,
205,1108080,Child Care Center,Celebration Academy,16655 KENYON AVE,,,Lakeville,MN,55044-8934,Dakota,(952) 232-1920,Active,Celebration Academy,101,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/18/2021,01/01/2023,12/31/2023,   ,
206,1060749,Child Care Center,Centaur Beginnings,5910 SHINGLE CREEK PKWY STE 1A,,,Brooklyn Center,MN,55430-2323,Hennepin,(763) 503-8982,Active,Brooklyn Center School District 0286-01,46 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,11/15/2012,01/01/2023,12/31/2023,   ,
207,1084787,Child Care Center,Center of Excellence,810 S 7TH ST,,,Minneapolis,MN,55415-1702,Hennepin,(612) 249-5337,Active,"People Serving People, Inc.",56 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,04/25/2017,01/01/2023,12/31/2023,   ,
208,1012883,Child Care Center,Central Lutheran Church Child Care Center,259 W Wabasha St,,,Winona,MN,55987     ,Winona,(507) 452-5493,Active,Central Lutheran Church Child Care Center,84 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,08/23/2001,01/01/2023,12/31/2023,   ,
209,1113282,Child Care Center,Centralowry Academy Inc.,2332 CENTRAL AVE NE,,,Minneapolis,MN,55418-3710,Hennepin,(612) 345-7873,Active,Centralowry Academy Inc.,60 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,07/11/2022,01/01/2023,12/31/2023,   ,
211,830823,Child Care Center,Chaska Head Start,303 E 6th St,,,Chaska,MN,55318     ,Carver,(952) 567-8209,Active,Scott-Carver-Dakota Cap Agency Inc.,17 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/10/1998,01/01/2023,12/31/2023,   ,
212,1106491,Child Care Center,Chester Creek Montessori,1602 E 2ND ST,,,Duluth,MN,55812-1656,St. Louis,(218) 721-8381,Active,RSH Education LLC,20 ,Service: Day time child care Ages Served: Preschool       ,"Per state fire marshal, no more than 5 children under 30 months of age",Child Care Center,Minnesota Department of Human Services,01/19/2023,01/19/2023,12/31/2023,   ,
213,1099629,Child Care Center,Chicago Child Care Center Inc. ,1910 CHICAGO AVE,,,Minneapolis,MN,55404-1903,Hennepin,(612) 644-7184,Active,Chicago Child Care Center Inc. ,114,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/31/2019,01/01/2023,12/31/2023,   ,
215,1104279,Child Care Center,Child Care Resource & Referral - Jeremiah,2915 JEREMIAH LN NW,,,Rochester,MN,55901-0000,Olmsted,(507) 601-7087,Active,"Child Care Resource and Referral, Inc.",68 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,08/31/2020,01/01/2023,12/31/2023,   ,
216,804236,Child Care Center,Child Care Resource & Referral Head Start,1026 E Center St,,,Rochester,MN,55904     ,Olmsted,(507) 287-2020,Active,"Child Care Resource and Referral, Inc.",192,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/30/1991,01/01/2023,12/31/2023,   ,
217,800371,Child Care Center,Child Care Resource and Referral Head Start,211 W Richway Dr,Brookside Education Center,,Albert Lea,MN,56007     ,Freeborn,(507) 379-5160,Active,"Child Care Resource and Referral, Inc.",40 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/18/1986,01/01/2023,12/31/2023,   ,
218,800376,Child Care Center,Child Development and Learning Center,13801 Fairview Dr,,,Burnsville,MN,55337     ,Dakota,(952) 435-8105,Active,"Prince of Peace Lutheran Church of Burnsville, Minnesota",100,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,10/06/1971,01/01/2023,12/31/2023,   ,
219,800379,Child Care Center,Child Garden Total Environment Montessori School,1601 LAUREL AVE,,,Minneapolis,MN,55403-1205,Hennepin,(612) 377-1698,Active,Child Garden (Total Environment) Montessori School and Day Care Center,246,Service: Day time child care Ages Served: Infants     Toddlers     Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/04/1979,01/01/2023,12/31/2023,   ,
220,1095744,Child Care Center,"Child's Play of St Cloud of MN, INC",1401 West St Germain St,,,Saint Cloud,MN,56301     ,Stearns,(320) 259-4540,Active,Child's Play of St. Cloud MN Inc.,82 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,10/01/2018,01/01/2023,12/31/2023,   ,
221,1007151,Child Care Center,Children First Christian Preschool,2100 Riverview Dr, , ,Little Falls,MN,56345     ,Morrison,(320) 632-6667,Active,First Lutheran Church,32 ,Service: Day time child care Ages Served: Preschool       ,None,Child Care Center,Minnesota Department of Human Services,09/29/2000,01/01/2023,12/31/2023,   ,
222,1025811,Child Care Center,Children of Grace Childcare Education Center,4010 9th Ave W,,,Hibbing,MN,55746-0000,St. Louis,(218) 263-5683,Active,Grace Lutheran Church,81 ,Service: Day time child care Ages Served: Infants     Toddlers     Preschool     School-Age       ,None,Child Care Center,Minnesota Department of Human Services,09/22/2003,01/01/2023,12/31/2023,   ,
